x,y,Time,theta
-1.0002240006220127,1.2621170029020606e-05,326.163,3.1392765499010493
-0.9850871201029543,0.0016802101710189337,327.963,-3.135978227943375
-0.9558375621759144,0.00037312179490522337,328.963,-3.133681330205193
-0.9153384559643557,0.0007355063749184623,329.763,-3.136357208367645
-0.8665728612123711,0.0002975377452833966,330.563,-3.136694293265299
-0.8379140498482308,0.0032923356786260798,330.963,-3.135173049544854
-0.801761261059952,-0.0011466777977022031,331.363,-3.1384525151981184
-0.7586222907546535,-0.0009354299799842863,331.763,-3.1367775529326085
-0.7213145915208828,-0.0028882193482221786,332.163,-3.1279758717206123
-0.6783832331923598,-0.002653093507901962,332.563,-3.089170678856604
-0.6393591276645496,-0.0066894395098666525,332.963,-3.049795015724396
-0.6022115413120439,-0.01151661154371733,333.363,-2.9883081937595355
-0.5633312122990943,-0.01631224426294732,333.763,-2.905823564629256
-0.5261480024767796,-0.026257903353512375,334.163,-2.8218881453561275
-0.4887020588137929,-0.03642919434996509,334.563,-2.739711784885356
-0.4511178414422966,-0.05182312284240416,334.963,-2.6630283656567713
-0.41239875827388783,-0.07330022396870117,335.363,-2.614046589252484
-0.3701234362976772,-0.09864107427009158,335.763,-2.573812938736456
-0.3350347555718773,-0.12343784163178988,336.163,-2.5376854972846954
-0.29291952484955663,-0.15451600744097643,336.563,-2.4955345121296655
-0.2482394734322972,-0.18494480192183219,336.963,-2.4534300411206926
-0.2116412409924197,-0.21917139749962294,337.363,-2.412735631210019
-0.1685203267168975,-0.2536382083424348,337.763,-2.37509466403582
-0.1341513820760949,-0.2903707860043547,338.163,-2.295718273097843
-0.09884542271185576,-0.3266463760933464,338.563,-2.22077774145679
-0.06762572054325035,-0.36699446831933397,338.963,-2.1367320352429555
-0.04021871161220261,-0.40812386287782043,339.363,-2.0560511527036627
-0.014350099730192568,-0.45052172630017756,339.763,-2.0060704053099196
0.011568734614745294,-0.49777233341168814,340.163,-1.9611780755789967
0.02870551132751837,-0.5426070470860114,340.563,-1.882984186068866
0.04395896590480901,-0.5865448376396828,340.963,-1.8039245458972781
0.051492169381862476,-0.6326263602754035,341.363,-1.7407834805647155
0.0608256727305961,-0.6781791386335264,341.763,-1.7110139390082755
0.0701965772417333,-0.7244618379978474,342.163,-1.7261053276499245
0.08203110543551335,-0.7693449345753485,342.563,-1.7640368882346233
0.09350342369352901,-0.8200712055863814,342.963,-1.801560177089649
0.1026119653489085,-0.8717351045239068,343.363,-1.840122914133211
0.1153830431994303,-0.9205889924941333,343.763,-1.88307472703033
0.13273293722114862,-0.9719870441369575,344.163,-1.917426640837174
0.15260457844815006,-1.0210934266948377,344.563,-1.9299939111955395
0.1736759993998891,-1.0698129924818716,344.963,-1.9326785349794497
0.19411175703185035,-1.1328109802256117,345.363,-1.928216289046873
0.21815232951849453,-1.1976803074140014,345.763,-1.9327260764408922
0.23936766514846608,-1.258044655088845,346.163,-1.9295464836040748
0.2616708984921262,-1.322785274283889,346.563,-1.9283201209721184
0.2880457105315282,-1.3825422008979789,346.963,-1.953348897760826
0.311428902277056,-1.4375707173618852,347.363,-2.01315919405746
0.3386188963891718,-1.4921622502495497,347.763,-2.0909339807489586
0.37381898955952514,-1.5544067900873137,348.163,-2.1699054901212462
0.415179323875301,-1.6171384331362388,348.563,-2.2687302554471813
0.4618595201775027,-1.6709749727764038,348.963,-2.3838545721231794
0.5150943209078691,-1.7233667344457022,349.363,-2.4988601916475113
0.5718927503147545,-1.7586542246046317,349.763,-2.6184928815080024
0.6374400601940677,-1.7956896126446131,350.163,-2.742005169631026
0.7028592314897274,-1.8258090977340613,350.563,-2.867831487924512
0.7756008866560707,-1.8426108820496185,350.963,-2.9869143885285503
0.8447533424494358,-1.849997851138297,351.363,-3.096534775837563
0.916796496746362,-1.8472872718126225,351.763,3.0969754038828268
0.9856036014222916,-1.8427133318442144,352.163,3.018593710155496
1.0624140898910357,-1.832739560312283,352.563,2.955249213414925
1.1332842490294472,-1.8201960893728883,352.963,2.920627754098056
1.2057033256506544,-1.8065541946186692,353.363,2.8847576379893565
1.27669409933043,-1.7901337754314677,353.763,2.847565405725201
1.3501346848691225,-1.7717451309853027,354.163,2.7853047373203124
1.4103277556379799,-1.746492367898864,354.563,2.7055138421221603
1.4757408605984328,-1.712574122465995,354.963,2.6022355007170406
1.5339599529747177,-1.6746882199708597,355.363,2.482903702633332
1.5888564385053128,-1.6265821658254154,355.763,2.3616100924334527
1.6371794496025935,-1.5821820463298317,356.163,2.237560665759811
1.6798912261932544,-1.5245169276043176,356.563,2.116006477657593
1.7178523913714476,-1.4602341833954247,356.963,2.0013217801069922
1.7455437684888409,-1.392263770949817,357.363,1.8958751528557032
1.7656854495524479,-1.3220638961523847,357.763,1.8151071842007602
1.782421156853939,-1.249792893098061,358.163,1.731129748900556
1.7952440913358252,-1.1723149812874907,358.563,1.6535768673005138
1.7959207884265318,-1.1050187195244274,358.963,1.5503172687800169
1.7957577790337378,-1.0363670764275963,359.363,1.4293030341944313
1.7847003038316873,-0.9654590582880616,359.763,1.3129722888217819
1.7649153344390054,-0.9054319681439488,360.163,1.229647106812298
1.7432455004810525,-0.8450076859662451,360.563,1.1541656345237217
1.717770754152083,-0.7811531379120449,360.963,1.0965402413007626
1.6823437130870136,-0.712804052810282,361.363,1.0500346902450908
1.651124425004099,-0.6568795126970465,361.763,1.0499617676214712
1.61871201132634,-0.5933307510434375,362.163,1.0455093408805698
1.5828399770546604,-0.5306236108044382,362.563,1.0072183122677503
1.54249711546662,-0.468194332531356,362.963,0.9347342506493439
1.5036484420524476,-0.4029248052388528,363.363,0.8637609214867946
1.4580735310604314,-0.3467399684950951,363.763,0.7829129691655321
1.399582377668644,-0.30029625499941703,364.163,0.6881266998481477
1.3433474450160812,-0.25515926335012445,364.563,0.6074101632426522
1.2779517296609944,-0.21272728080176911,364.963,0.53085248665505
1.2153044760527394,-0.17332337023666627,365.363,0.48908357307960926
1.1495841837788452,-0.14147877590387997,365.763,0.4712474574285929
1.0833747588668172,-0.10496919718546027,366.163,0.5026815084417653
1.0219728218096489,-0.06741678018954825,366.563,0.5840565933088173
0.9622949932114558,-0.02243482831226468,366.963,0.6610419553930689
0.9085914953903522,0.025938988001846165,367.363,0.7397267437122187
0.8547391626576869,0.08052729736735172,367.763,0.8183820833538503
0.8092462618792091,0.1362559396007806,368.163,0.9334995932591591
0.7645282936750295,0.2041333847496092,368.563,1.0536029790120918
0.7291681083717849,0.2731470604398755,368.963,1.1715191088056462
0.7009833817168226,0.3449702058359561,369.363,1.2944116377699697
0.6829702949696462,0.4158317463974469,369.763,1.3877266108493684
0.6747033814841376,0.488313223634282,370.163,1.4702798108498951
0.6647299842848875,0.5669642319361934,370.563,1.5123392099561133
0.6621979251040712,0.6415431419151539,370.963,1.5198959207935119
0.6641916901078097,0.7132083284940072,371.363,1.5091440396862987
0.6568997854044978,0.7850825962633414,371.763,1.4631537919805757
0.6449227554063206,0.8625536188174059,372.163,1.3923898123187348
0.6223740428753282,0.9440516827823199,372.563,1.3063958773909916
0.6009667523040646,1.0123242577727718,372.963,1.2304315077191486
0.5750348764537485,1.0845006943596585,373.363,1.1477169146911999
0.5457274956815965,1.1478184708158474,373.763,1.068959629556889
0.5076316743395799,1.212260818138616,374.163,0.9821637277033662
0.4640414373925235,1.2669721594676124,374.563,0.8992234151987497
0.41744571796604024,1.3255343670655273,374.963,0.8489525080061766
0.3655586538805232,1.3875841058729337,375.363,0.8104137689218588
0.31370631355327877,1.4381633843632016,375.763,0.7725968640847806
0.2591592730924023,1.4924644757131862,376.163,0.7308565113813149
0.20588837585191777,1.5430057501911003,376.563,0.6866483972745591
0.14418226748935947,1.5917834713348011,376.963,0.647414784008887
0.08519556553494394,1.6319871520925537,377.363,0.5645854591563142
0.018955099810906213,1.6696605570770622,377.763,0.48199902908002035
-0.04517272188260068,1.703032781964012,378.163,0.40720033443987647
-0.11769257040329338,1.731985743800956,378.563,0.32127464087541097
-0.18319860159864562,1.751626627378018,378.963,0.24569707680194036
-0.2541700668539672,1.7681233211366856,379.363,0.20131490988296197
-0.32617329705104264,1.7834708746358146,379.763,0.16438261890600284
-0.40006545776752844,1.7969740480445815,380.163,0.1322489825423655
-0.4744873330262208,1.8075446338530896,380.563,0.09021008122005961
-0.5433304979605507,1.8170717109546768,380.963,0.05013033204299746
-0.6163302182698965,1.8200519807517959,381.363,0.00982159469545353
-0.6967889684824676,1.8227953251116424,381.763,-0.046305617248601515
-0.7726009928822064,1.8211468193059892,382.163,-0.13526331642831316
-0.8418883956518327,1.811696183353634,382.563,-0.23859663121566815
-0.9051348664680254,1.7945868229293849,382.964,-0.26668525125454207
-0.9777631610561626,1.7832049143935602,383.363,-0.19555460295646399
-1.054092010559624,1.7808469311017219,383.763,-0.07141734862027307
-1.1341063164102687,1.7817342096709787,384.163,0.049079290344547076
-1.204954827679296,1.7871149549083263,384.563,0.14137615783863003
-1.272697785466909,1.7993014054103906,384.963,0.2250442502505924
-1.3455637430121725,1.8171637511232803,385.363,0.29393443501601907
-1.415436157273493,1.8373241802436542,385.763,0.32980907212203475
-1.4910237412757466,1.8623694010898595,386.163,0.27937588589813184
-1.5565970295934757,1.8769013787534092,386.563,0.12610004967416147
-1.6328809693180792,1.8852523709013929,386.963,-0.07156872109777147
-1.7095756405772329,1.87765825325072,387.363,-0.267931383280661
-1.7803524457729865,1.8559170486484933,387.763,-0.46758303564752945
-1.847226545342193,1.8219684599866672,388.163,-0.6689273191861053
-1.9063685512731021,1.770643534049448,388.563,-0.8675552767244533
-1.9561615281489015,1.7057648685722695,388.963,-1.0722090287659853
-1.9914157711960516,1.634729026801816,389.363,-1.27080870653333
-2.014480040567149,1.566489883487176,389.763,-1.465314159273744
-2.0261705424778618,1.4977139510155124,390.163,-1.5896818093654008
-2.0267276733609716,1.4258826784136542,390.563,-1.670443661930566
-2.026598545993987,1.350695264582848,390.963,-1.6881709068158477
-2.02116037470571,1.285070843354333,391.363,-1.6859680088250708
-2.0161222486037413,1.2122742887474367,391.763,-1.6883934857042404
-2.0111744601461345,1.1392712926177448,392.163,-1.6844630014716993
-2.005310408419574,1.0609213351041626,392.563,-1.6852597041142614
-1.997086222985107,0.9856001141471549,392.963,-1.678901822131281
-1.9933009348746262,0.919848890034738,393.363,-1.645163044692133
-1.9892585843837718,0.8434134107937424,393.763,-1.610157903402312
-1.9862760688439756,0.7636874982395627,394.163,-1.5690599687234663
-1.9899502104366285,0.6914262574380988,394.563,-1.5299262815475136
-1.9935756717223394,0.6141406389411525,394.963,-1.5238386978327714
-1.9974651683981868,0.5354089714955368,395.363,-1.5226601885904931
-2.001400231305608,0.4602135582418022,395.763,-1.5236937714344858
-2.004376616109518,0.38614251580512277,396.163,-1.5239069035958799
-2.0030334357057438,0.3093258662767724,396.563,-1.5299428024468305
-2.0080678838225356,0.23683419527357805,396.963,-1.5238667286310283
-2.0136049484650926,0.16372195591720856,397.363,-1.520287899986398
-2.0157382673623814,0.07594892018439017,397.763,-1.5181360934964931
-2.0230669218296278,-0.011248897851711646,398.163,-1.5235468320316063
-2.027776647181215,-0.1094088430048161,398.563,-1.5324888174406688
-2.030735570180685,-0.20356046949538822,398.963,-1.617095362335001
-2.023155881304435,-0.2996962332972113,399.363,-1.7615334364362492
-2.000192081518689,-0.3886399049684165,399.763,-1.9134184973754773
-1.963238326752308,-0.4783358003999799,400.163,-2.069785524920229
-1.9151522176201174,-0.5563857359707357,400.563,-2.225685838719809
-1.8519590597497322,-0.6285240275112189,400.963,-2.3915766934153813
-1.7783012377178955,-0.693836215943626,401.363,-2.551169708837407
-1.6979456123214078,-0.7471933399882998,401.763,-2.712747689553527
-1.6120844297281818,-0.7866617324705092,402.163,-2.86958702294113
-1.5146749147819836,-0.8172028556097005,402.563,-2.9608592299319474
-1.420945640497623,-0.8379225248415494,402.963,-2.965122084500034
-1.3280892781865654,-0.8647214749318517,403.363,-2.8823054742404417
-1.2367170954710136,-0.898281978760106,403.763,-2.723025621216233
-1.1500090783169492,-0.9469876620588099,404.163,-2.529772411217296
-1.0683313807525745,-1.016919135794952,404.563,-2.328984511304201
-1.0009881060030383,-1.096474590697907,404.963,-2.131841024511138
-0.9532536941242722,-1.1840014064218014,405.363,-1.9373564880069993
-0.9253053929153786,-1.2820319089543561,405.763,-1.735345652480996
-0.9180098699816929,-1.3826046273068129,406.163,-1.5459883778189472
-0.9197696529015339,-1.47656547996311,406.563,-1.4492578312421405
