x,y,Time,theta
-0.999991914050383,-0.00016277841501917273,326.163,3.140045654342658
-0.9857602135358492,0.0016444661644367336,327.963,-3.141182004711784
-0.9599594021642857,-0.0021844281454988963,328.963,-3.1389013001834063
-0.9252083842454373,-0.0017936583529778922,329.763,-3.137725280359651
-0.8797574991615779,-0.0014656237941084896,330.563,-3.136937583112969
-0.8505697942666978,-0.003374436081090328,330.963,-3.1365885397591757
-0.8160239418047567,-0.003218494161425757,331.363,-3.1373818866080163
-0.7774327165205522,-0.006755257497240993,331.763,-3.1378631083271995
-0.7359465554596581,-0.00949571881997423,332.163,-3.1252980217451385
-0.6897256991538809,-0.008224447375175496,332.563,-3.0839633152400507
-0.6505004948647575,-0.013912137023615295,332.963,-3.0442186783195644
-0.6117726059065614,-0.016668181139897664,333.363,-2.9830144845146895
-0.5738541723037079,-0.02160552069549595,333.763,-2.9044981657787425
-0.5307416966105835,-0.03161106868582273,334.163,-2.826673128618041
-0.49603943778506654,-0.04466108334556936,334.563,-2.7506626095270135
-0.45394227002550414,-0.06153376124597852,334.963,-2.6681367505758193
-0.41612921815174,-0.08156037371927861,335.363,-2.617545257080551
-0.37423628910800183,-0.1027155731591163,335.763,-2.5770386962974325
-0.3326238483179766,-0.12788373721124943,336.163,-2.5373696796624494
-0.2908137375595256,-0.1571669084579619,336.563,-2.4959461183931007
-0.24309390073647946,-0.1895902286694983,336.963,-2.4535656591790636
-0.20177910125715265,-0.22385260634563248,337.363,-2.414846819970264
-0.1627128914880641,-0.255456092099664,337.763,-2.3724236016949862
-0.12848408387056376,-0.286546890717144,338.163,-2.294256729243611
-0.0906877503919569,-0.3261464094431837,338.563,-2.21342993726612
-0.06197048868218064,-0.36762589631152426,338.963,-2.1368013820420932
-0.036732622905556005,-0.4082433921585333,339.363,-2.0564748917301534
-0.01264259364055296,-0.4534692625720145,339.763,-2.0005051574455703
0.00805030853849278,-0.4974577864631598,340.163,-1.9563168934985118
0.028855045649099964,-0.5451806666056619,340.563,-1.8804081088197886
0.044427619073513135,-0.5912014331026051,340.963,-1.8049113806680372
0.0537668332564924,-0.6466822118838118,341.363,-1.7454813109484548
0.06168426996176869,-0.697517826198753,341.763,-1.706605629350095
0.07209139440648624,-0.7438818836005308,342.163,-1.7240920624093472
0.08091292766046429,-0.7921627126965957,342.563,-1.764758454347239
0.09419014298457604,-0.8372735542067264,342.963,-1.8031206636914223
0.10929329609822487,-0.8842312393938483,343.363,-1.8417541837618054
0.12451715454254975,-0.9319221964887009,343.763,-1.8803868619812045
0.1391874727296981,-0.9830021980158106,344.163,-1.9206029221918028
0.1558745535302085,-1.0306508702400234,344.563,-1.929637735274321
0.17546955315328958,-1.0766449219183458,344.963,-1.93002634005442
0.19081122648814935,-1.1340656638766573,345.363,-1.9259169621682708
0.21370148860050853,-1.1928284929162332,345.763,-1.9267750462307398
0.23795459893627727,-1.2573028545549958,346.163,-1.9278326684928158
0.2641297094432189,-1.3155929048940462,346.563,-1.9267377842548306
0.2860530235364619,-1.3737416071890758,346.963,-1.9518380171101763
0.3108342878060004,-1.4362704417411034,347.363,-2.020829251249704
0.34224251673131095,-1.4986967508491678,347.763,-2.0914745613145183
