x,y,theta,Time
-1.007806032827284,-0.0016846492768767245,0.0037897700701419847,326.691
-1.0435191396940091,-0.028637181404105535,0.02828191857069746,327.024
-1.0370767006715516,-0.006717692423494494,0.03878713745475308,327.357
-1.0946138848953855,0.024185555864000317,0.02714635985079692,327.691
-1.081968316773461,-0.019830451601221138,0.04690698909011897,328.024
-1.0974290888901488,-0.05469133740818842,0.06704108669055744,328.357
-1.1098517331470954,-0.03949317190980231,0.05169365365038282,328.691
-1.1169290108876604,-0.009122517658551696,0.01911016214741884,329.024
-1.0824210801442449,-0.01851250930444304,0.01149663837221436,329.357
-1.074868100490419,0.011704244916569021,-0.016568041955381876,329.691
-1.0825403600157835,0.06466777412366356,-0.02017147537540293,330.024
-1.056825256045555,0.008820372600608372,-0.02919039603807603,330.357
-1.0598723772859964,0.07226245086282343,-0.013242791787730706,330.691
-1.0309375644800787,0.04754385449045096,-0.029506896104195584,331.024
-0.9964147295705621,0.013732758935409846,-0.037418117881151375,331.357
-0.9815868872944116,-0.02388671782039769,-0.0076425246514918695,331.691
-0.9605632565076156,-0.024365069257538584,-0.011518136778496524,332.024
-0.919027562360521,-0.0585107758182678,-0.04551465618320735,332.357
-0.8764129488235044,-0.11249556030780151,-0.10960748932659498,332.691
-0.8417029908003391,-0.08826930934313468,-0.1531411722161881,333.024
-0.8312573102734343,-0.11800950476128486,-0.23038011332851108,333.357
-0.8126935871149518,-0.12428410641082627,-0.29819990482314696,333.691
-0.7930559182784784,-0.16246993222866246,-0.37424173221618856,334.024
-0.7563487270838926,-0.17706371021146095,-0.42622637003796826,334.357
-0.713329757496033,-0.20490481441954275,-0.4981188323668312,334.691
-0.6862700600615126,-0.2824825217741177,-0.5360745357292312,335.024
-0.659839175301298,-0.33006220388456253,-0.5765612263661742,335.357
-0.6357786740459466,-0.4005509207596795,-0.6207452320267731,335.691
-0.5864780533010788,-0.4120686981082927,-0.6122392818586289,336.024
-0.5797206576981924,-0.4492987544554783,-0.6500830147517547,336.357
-0.5535877318088509,-0.47383598459930537,-0.6518536270839042,336.691
-0.5373096219557102,-0.5154451445648153,-0.6934674782902744,337.024
-0.4816841102506274,-0.5361325189497158,-0.7604964364770704,337.357
-0.42989519540757026,-0.5726753688332187,-0.8186456485324242,337.691
-0.42186771329222883,-0.5909325571227139,-0.8753212849712428,338.024
-0.411891409289148,-0.60735538573321,-0.9302044244894953,338.357
-0.42616401164195106,-0.6534751644478194,-0.9960146949220923,338.691
-0.37827435440983254,-0.7303952701651818,-1.0449580137976073,339.024
-0.33527458019400214,-0.7240344639754152,-1.1058083127647471,339.357
-0.3357619447445048,-0.8013371120532607,-1.1607503608770358,339.691
-0.3317677536630702,-0.8660623588587383,-1.1825772112973119,340.024
-0.3478541219812171,-0.8461918767828893,-1.242759732458637,340.357
-0.3603421354092933,-0.8693112949337244,-1.313054684909385,340.691
-0.37463094001880265,-0.9255939717124514,-1.3780656166695828,341.024
-0.38132212246788644,-0.9503278481476833,-1.394611338494082,341.357
-0.35032932035626585,-1.0249735536640074,-1.4012694685713107,341.691
-0.3493864235627742,-1.0737421945668857,-1.4093955520647685,342.024
-0.3034151149484015,-1.0752933179232083,-1.3666793720807418,342.357
-0.2941831644516509,-1.1245228439474508,-1.3179837966434695,342.691
-0.2684007231264826,-1.1028967467089976,-1.2746955265276252,343.024
-0.22061729950251338,-1.155582024976849,-1.2612288421106974,343.357
-0.20581974668094943,-1.217973621205161,-1.2269514767057854,343.691
-0.15917212140441192,-1.2425504282606594,-1.2240854834551749,344.024
-0.17586874666378433,-1.3256487628228733,-1.2160482931739418,344.357
-0.22351405872606186,-1.3650891115766153,-1.2305060025075443,344.691
-0.22197564581657242,-1.3637147078925906,-1.2086655892243483,345.024
-0.22636627323707076,-1.4218295915028558,-1.207202544201203,345.357
-0.16410362164965925,-1.4157430571018943,-1.216785279087954,345.691
-0.11355999501448841,-1.4675457757965866,-1.2401417457443122,346.024
-0.11603828710741151,-1.508599544204814,-1.2226093763933936,346.357
-0.11531421086827151,-1.576025666401602,-1.2295502667928109,346.691
-0.116416280661999,-1.6345696846186477,-1.1915182978444616,347.024
-0.08235899629517243,-1.6506328142267548,-1.1223672648237522,347.357
-0.04550517673251346,-1.6668189139161687,-1.0495493937984073,347.691
